stateName,crudeNumber,crudeRate,ageAdjustedRate,population,appliedFilters
New Mexico,"2,163",103.8,102.2,2083207,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
New York,"8,585",43.4,40.1,19773580,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Carolina,"6,541",65.8,63.7,9941160,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
North Dakota,514,69.6,64.1,738658,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Ohio,"8,366",72.2,69.5,11593741,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oklahoma,"3,522",90.9,89.0,3875008,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Oregon,"2,773",70.0,64.4,3960673,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Pennsylvania,"9,224",72.1,66.1,12790341,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Rhode Island,748,70.9,62.8,1054782,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Carolina,"3,608",74.8,72.2,4824758,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
South Dakota,642,75.6,71.6,849455,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Tennessee,"5,234",80.0,77.5,6540007,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Texas,"14,652",54.4,55.7,26954436,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Utah,"1,924",65.5,73.2,2938671,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Vermont,478,76.4,68.5,625665,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Virginia,"4,701",56.5,54.7,8316902,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Washington,"4,428",62.8,59.8,7046931,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
West Virginia,"1,897",102.7,98.1,1847624,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wisconsin,"4,032",70.1,64.4,5751272,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
Wyoming,514,88.1,86.9,583334,"Start Year: 2014, End Year: 2014, All Intents All Injury Deaths, Age Range: All Ages, Sex: Male & Female, Race: All Races, Ethinicity: All Ethinicities, State: All States"
