year,geo_name,geo,total_reimbursements_b
2014,"Dawson County","05000US48115",8986.0
2011,"Dawson County","05000US48115",10181.0
2013,"Dawson County","05000US48115",9723.0
2012,"Deaf Smith County","05000US48117",9837.0
2014,"Deaf Smith County","05000US48117",9990.0
2011,"Deaf Smith County","05000US48117",9496.0
2010,"Deaf Smith County","05000US48117",9187.0
2013,"Deaf Smith County","05000US48117",9697.0
2013,"Delta County","05000US48119",11490.0
2012,"Delta County","05000US48119",10948.0
2011,"Delta County","05000US48119",11118.0
2014,"Delta County","05000US48119",11948.0
2010,"Delta County","05000US48119",12586.0
2012,"Denton County, TX","05000US48121",12189.0
2011,"Denton County, TX","05000US48121",12401.0
2013,"Denton County, TX","05000US48121",11738.0
2014,"Denton County, TX","05000US48121",11662.0
2010,"Denton County, TX","05000US48121",12211.0
2010,"DeWitt County","05000US48123",10448.0
2013,"DeWitt County","05000US48123",9643.0
2012,"DeWitt County","05000US48123",10355.0
2014,"DeWitt County","05000US48123",10580.0
2011,"DeWitt County","05000US48123",11084.0
2011,"Dickens County","05000US48125",11491.0
2012,"Dickens County","05000US48125",12635.0
2014,"Dickens County","05000US48125",9671.0
2013,"Dickens County","05000US48125",11450.0
2010,"Dickens County","05000US48125",10858.0
2010,"Dimmit County","05000US48127",11457.0
2014,"Dimmit County","05000US48127",11421.0
2011,"Dimmit County","05000US48127",12511.0
2013,"Dimmit County","05000US48127",10231.0
2012,"Dimmit County","05000US48127",12191.0
2010,"Donley County","05000US48129",12885.0
2013,"Donley County","05000US48129",9476.0
2011,"Donley County","05000US48129",10829.0
2014,"Donley County","05000US48129",10940.0
2012,"Donley County","05000US48129",10548.0
2014,"Duval County","05000US48131",15986.0
2010,"Duval County","05000US48131",14809.0
2012,"Duval County","05000US48131",14589.0
2013,"Duval County","05000US48131",14797.0
2011,"Duval County","05000US48131",15016.0
2013,"Eastland County","05000US48133",10698.0
2014,"Eastland County","05000US48133",10969.0
2011,"Eastland County","05000US48133",11485.0
2010,"Eastland County","05000US48133",11091.0
2012,"Eastland County","05000US48133",11219.0
2014,"Ector County, TX","05000US48135",9467.0
2012,"Ector County, TX","05000US48135",10274.0
2010,"Ector County, TX","05000US48135",10929.0
2013,"Ector County, TX","05000US48135",9520.0
2011,"Ector County, TX","05000US48135",10268.0
2010,"Edwards County","05000US48137",8114.0
2014,"Edwards County","05000US48137",8717.0
2012,"Edwards County","05000US48137",9088.0
2011,"Edwards County","05000US48137",8721.0
2013,"Edwards County","05000US48137",9675.0
2012,"Ellis County, TX","05000US48139",10921.0
2013,"Ellis County, TX","05000US48139",11017.0
2011,"Ellis County, TX","05000US48139",11118.0
2010,"Ellis County, TX","05000US48139",11159.0
2014,"Ellis County, TX","05000US48139",10995.0
2010,"El Paso County, TX","05000US48141",9673.0
2014,"El Paso County, TX","05000US48141",9943.0
2012,"El Paso County, TX","05000US48141",9916.0
2011,"El Paso County, TX","05000US48141",9688.0
2013,"El Paso County, TX","05000US48141",9728.0
2011,"Erath County","05000US48143",9948.0
2012,"Erath County","05000US48143",9325.0
2014,"Erath County","05000US48143",10005.0
2013,"Erath County","05000US48143",9634.0
2010,"Erath County","05000US48143",9661.0
2012,"Falls County","05000US48145",10270.0
2014,"Falls County","05000US48145",11065.0
2011,"Falls County","05000US48145",10710.0
2010,"Falls County","05000US48145",10304.0
2013,"Falls County","05000US48145",9792.0
2014,"Fannin County","05000US48147",12486.0
2013,"Fannin County","05000US48147",11384.0
2012,"Fannin County","05000US48147",12416.0
2010,"Fannin County","05000US48147",10945.0
2011,"Fannin County","05000US48147",12042.0
2014,"Fayette County","05000US48149",9171.0
2011,"Fayette County","05000US48149",9488.0
2010,"Fayette County","05000US48149",9510.0
2012,"Fayette County","05000US48149",9837.0
2013,"Fayette County","05000US48149",9095.0
2012,"Fisher County","05000US48151",9769.0
2013,"Fisher County","05000US48151",9263.0
2014,"Fisher County","05000US48151",9765.0
2011,"Fisher County","05000US48151",9895.0
2010,"Fisher County","05000US48151",10262.0
2012,"Floyd County","05000US48153",11700.0
2014,"Floyd County","05000US48153",10043.0
2011,"Floyd County","05000US48153",12355.0
2010,"Floyd County","05000US48153",11705.0
2013,"Floyd County","05000US48153",11160.0
2011,"Foard County","05000US48155",10643.0
2010,"Foard County","05000US48155",11552.0
2012,"Foard County","05000US48155",10869.0
2014,"Foard County","05000US48155",12676.0
2013,"Foard County","05000US48155",10389.0
2011,"Fort Bend County, TX","05000US48157",11272.0
2012,"Fort Bend County, TX","05000US48157",11457.0
2010,"Fort Bend County, TX","05000US48157",11328.0
2013,"Fort Bend County, TX","05000US48157",10926.0
2014,"Fort Bend County, TX","05000US48157",10705.0
2014,"Franklin County","05000US48159",11552.0
2010,"Franklin County","05000US48159",11660.0
2011,"Franklin County","05000US48159",11774.0
2012,"Franklin County","05000US48159",11637.0
2013,"Franklin County","05000US48159",10629.0
2012,"Freestone County","05000US48161",10181.0
2014,"Freestone County","05000US48161",10199.0
2010,"Freestone County","05000US48161",10254.0
2013,"Freestone County","05000US48161",10414.0
2011,"Freestone County","05000US48161",10938.0
2012,"Frio County","05000US48163",10891.0
2010,"Frio County","05000US48163",11228.0
2014,"Frio County","05000US48163",11103.0
2011,"Frio County","05000US48163",12056.0
2013,"Frio County","05000US48163",10664.0
2014,"Gaines County","05000US48165",10410.0
2011,"Gaines County","05000US48165",11595.0
2013,"Gaines County","05000US48165",9913.0
2010,"Gaines County","05000US48165",10650.0
2012,"Gaines County","05000US48165",11111.0
2010,"Galveston County, TX","05000US48167",11468.0
2014,"Galveston County, TX","05000US48167",11699.0
2011,"Galveston County, TX","05000US48167",11408.0
2012,"Galveston County, TX","05000US48167",11518.0
2013,"Galveston County, TX","05000US48167",10987.0
2011,"Garza County","05000US48169",11042.0
2014,"Garza County","05000US48169",10452.0
2013,"Garza County","05000US48169",9475.0
2012,"Garza County","05000US48169",11687.0
2010,"Garza County","05000US48169",11292.0
2012,"Gillespie County","05000US48171",7758.0
2014,"Gillespie County","05000US48171",7601.0
2011,"Gillespie County","05000US48171",7825.0
2013,"Gillespie County","05000US48171",7446.0
2010,"Gillespie County","05000US48171",7786.0
2011,"Glasscock County","05000US48173",6867.0
2012,"Glasscock County","05000US48173",9058.0
2010,"Glasscock County","05000US48173",7646.0
2014,"Glasscock County","05000US48173",9007.0
2013,"Glasscock County","05000US48173",8289.0
2010,"Goliad County","05000US48175",9139.0
2011,"Goliad County","05000US48175",10238.0
2014,"Goliad County","05000US48175",12084.0
2012,"Goliad County","05000US48175",10325.0
2013,"Goliad County","05000US48175",10093.0
2011,"Gonzales County","05000US48177",10166.0
2010,"Gonzales County","05000US48177",9948.0
2012,"Gonzales County","05000US48177",9212.0
2014,"Gonzales County","05000US48177",10441.0
2013,"Gonzales County","05000US48177",10696.0
2013,"Gray County","05000US48179",9951.0
2014,"Gray County","05000US48179",10876.0
2011,"Gray County","05000US48179",10476.0
2012,"Gray County","05000US48179",10801.0
2010,"Gray County","05000US48179",10649.0
2014,"Grayson County, TX","05000US48181",12482.0
2011,"Grayson County, TX","05000US48181",12409.0
2013,"Grayson County, TX","05000US48181",12321.0
2010,"Grayson County, TX","05000US48181",11831.0
2012,"Grayson County, TX","05000US48181",12198.0
2011,"Gregg County, TX","05000US48183",11561.0
2012,"Gregg County, TX","05000US48183",11396.0
2010,"Gregg County, TX","05000US48183",10942.0
2014,"Gregg County, TX","05000US48183",11176.0
2013,"Gregg County, TX","05000US48183",10840.0
2014,"Grimes County","05000US48185",10695.0
2010,"Grimes County","05000US48185",10052.0
2013,"Grimes County","05000US48185",9946.0
2011,"Grimes County","05000US48185",10529.0
2012,"Grimes County","05000US48185",11000.0
2014,"Guadalupe County, TX","05000US48187",10051.0
2013,"Guadalupe County, TX","05000US48187",10215.0
2010,"Guadalupe County, TX","05000US48187",9671.0
2012,"Guadalupe County, TX","05000US48187",10374.0
2011,"Guadalupe County, TX","05000US48187",10199.0
2014,"Hale County","05000US48189",10405.0
2011,"Hale County","05000US48189",11421.0
2010,"Hale County","05000US48189",11027.0
2013,"Hale County","05000US48189",10689.0
2012,"Hale County","05000US48189",10729.0
2013,"Hall County","05000US48191",10006.0
2012,"Hall County","05000US48191",9104.0
2011,"Hall County","05000US48191",10341.0
2014,"Hall County","05000US48191",11613.0
2010,"Hall County","05000US48191",12810.0
2012,"Hamilton County","05000US48193",10539.0
2014,"Hamilton County","05000US48193",9611.0
2011,"Hamilton County","05000US48193",10309.0
2010,"Hamilton County","05000US48193",11447.0
2013,"Hamilton County","05000US48193",10648.0
2013,"Hansford County","05000US48195",9882.0
2014,"Hansford County","05000US48195",11178.0
2011,"Hansford County","05000US48195",11032.0
2010,"Hansford County","05000US48195",10084.0
2012,"Hansford County","05000US48195",10420.0
2010,"Hardeman County","05000US48197",12611.0
2014,"Hardeman County","05000US48197",12277.0
2013,"Hardeman County","05000US48197",13440.0
2011,"Hardeman County","05000US48197",13186.0
2012,"Hardeman County","05000US48197",13299.0
2013,"Hardin County","05000US48199",11796.0
2012,"Hardin County","05000US48199",10931.0
2014,"Hardin County","05000US48199",11388.0
2010,"Hardin County","05000US48199",11165.0
2011,"Hardin County","05000US48199",11179.0
2011,"Harris County, TX","05000US48201",11953.0
2014,"Harris County, TX","05000US48201",11668.0
2010,"Harris County, TX","05000US48201",11902.0
2012,"Harris County, TX","05000US48201",11723.0
2013,"Harris County, TX","05000US48201",11487.0
2014,"Harrison County","05000US48203",10825.0
2012,"Harrison County","05000US48203",11069.0
2010,"Harrison County","05000US48203",10591.0
2013,"Harrison County","05000US48203",10704.0
2011,"Harrison County","05000US48203",10923.0
2014,"Hartley County","05000US48205",12764.0
2013,"Hartley County","05000US48205",14306.0
2011,"Hartley County","05000US48205",8823.0
2012,"Hartley County","05000US48205",10522.0
2010,"Hartley County","05000US48205",9999.0
2010,"Haskell County","05000US48207",9745.0
2014,"Haskell County","05000US48207",10550.0
2013,"Haskell County","05000US48207",10206.0
2011,"Haskell County","05000US48207",10060.0
2012,"Haskell County","05000US48207",10100.0
2013,"Hays County, TX","05000US48209",10358.0
2011,"Hays County, TX","05000US48209",10331.0
