stateName,2001suic,2001pop,2004suic,2004pop,2005suic,2005pop,2006suic,2006pop,2007suic,2006pop,2008suic,2008pop,2009suic,2009pop,2010suic,2010pop,2011suic,2011pop,2012suic,2012pop,2013suic,2013pop,2014suic,2014pop,2017suic,2017pop
Rhode Island,44.8,2123137,43.7,1074579,47.3,1067916,51.8,1063096,46.7,1057315,54,1055003,50.2,1053646,55.5,1052945,56.8,1052154,57,1052761,61.9,1052784,62.8,1054782,75.3,1059639
South Carolina,68.9,8172790,70.2,4210921,74.2,4270150,75,4357847,74.7,4444110,71.4,4528996,69.4,4589872,70.5,4625381,70.5,4672744,70.8,4719009,68.6,4765862,72.2,4824758,86.7,5024369
South Dakota,62.4,1517992,70,770396,67.9,775493,73.4,783033,57.6,791623,63.6,799124,63.4,807067,66.8,814197,65.6,823338,68.3,832576,68.4,842513,71.6,849455,84.1,869666
Tennessee,69.6,11546707,76.3,5910809,77.7,5991057,79.3,6088766,76.2,6175727,76.9,6247411,75.1,6306019,77.9,6346295,76.5,6396281,76.9,6450632,76.7,6490795,77.5,6540007,90.9,6715984
Texas,58.5,43009947,57.7,22394023,58.9,22778123,59,23359580,59.6,23831983,57.9,24309039,58.8,24801761,57.1,25146100,56,25644424,55.2,26078327,54.6,26479279,55.7,26954436,58.9,28304596
Utah,60.5,4608530,63.6,2401580,66.1,2457719,63.5,2525507,68.4,2597746,65,2663029,66.7,2723421,66.7,2763889,71.3,2815430,74.4,2854222,73,2899961,73.2,2938671,73.2,3101833
Vermont,54.1,1227665,57.3,619920,57.8,621215,60.9,622892,61.8,623481,62.7,624151,59.4,624817,60.9,625741,63.1,626210,63.8,625606,71.6,626044,68.5,625665,79,623657
Virginia,53.1,14485235,53,7475575,53.7,7577105,53,7673725,55.5,7751000,53.6,7833496,50.7,7925937,48.6,8001043,51.8,8107548,51.9,8188656,52.1,8261689,54.7,8316902,63.5,8470020
Washington,53.8,12038071,56.5,6178645,58,6257305,58.6,6370753,58.1,6461587,58.8,6562231,57.7,6667426,55.9,6724545,56.9,6819155,57.7,6890899,57,6963410,59.8,7046931,66.1,7405743
West Virginia,71.7,3606895,80.9,1816438,69.6,1820492,85.2,1827912,89.7,1834052,86.3,1840310,68.7,1847775,87.5,1853006,99.7,1854891,98.8,1855360,95.2,1852333,98.1,1847624,131.1,1815857
Wisconsin,55,10851997,55.3,5514026,59.7,5546166,59.1,5577655,61.7,5610775,57.6,5640996,56.7,5669264,58.2,5687288,59.4,5705812,61.5,5721075,65.5,5736673,64.4,5751272,78.8,5795483
Wyoming,80.8,994674,69.9,509106,80.8,514157,82.5,522667,80.7,534876,90.6,546043,78.1,559851,84.6,563767,85.1,567602,87.9,576608,81.3,582341,86.9,583334,88.1,579315
